電気装置	マイナス 20 度 程度 で バッテリ が あがる た ため 、 エンジン が かかる ない なる た 。
エンジン	20 km / h 30 km / h の 走行 から 、 信号 停止 の ため 、 アクセル ペダル を 放す て 減速 する う と する た ところ 、 突然 エンジン 回転 が レッド ゾーン まで 吹ける 上がる た 。 ギア を ニュートラル に する て 駐車 ブレーキ を 併用 する て 停車 する エンジン を 再始動 する た ところ 、 エンジン 回転 が 5000 rpm 8000 rpm 位 の 間 を 上下 する 、 もう一度 再始動 する た ところ 、 症状 が 消える た 。
制動装置	操作 ペダル が アルミ 製 の ため 、 雨天 時 や 洗車 後 など 靴 底 が 濡れる て いる と 、 ペダル を 踏む だ 時 に ツルッ と 滑る 。
緩衝装置	ビルシュタインサスペンション が 硬い すぎる て 市街地 で は とても 不快 。 ギギギ っと 変 だ 音 が する 。
保安灯火	電気 系統 の 接触 不良 だ 灯火 ( ライト ) 類 が 点く たり 消える たり する 。
車枠・車体	ガスステー の 不良 により 、 リア ハッチ に 頭 を ぶつける た 。
かじ取り	ステアリング を 限界 近い まで 切る と ゴリゴリ ゴリ っと 音 が する 。
その他	予備 キー が イモビライザー で 認証 する れる ぬ 、 始動 できる ない なる た 。
制動装置	過去 の モデル に 比較 する て 、 アクセル ペダル が ブレーキ ペダル 側 に 接近 する て いる ため 、 ブレーキ ぺ ダル と アクセル ペダル を 同時に 踏む こと が ある 。
エンジン	DPF の 不具合 により 、 ターボチャージャー や 排気 系 に オイル が 回る て しまう 、 警告 灯 が 点灯 する て 車 が 走る ない なる た 。
